🇨🇳卫视频道,#genre#
河南卫视,http://61.54.14.232:9801/tsfile/live/1016_1.m3u8
湖南卫视,http://61.54.14.232:9801/tsfile/live/1017_1.m3u8
江苏卫视,http://61.54.14.232:9801/tsfile/live/1018_1.m3u8
浙江卫视,http://61.54.14.232:9801/tsfile/live/1019_1.m3u8
北京卫视,http://61.54.14.232:9801/tsfile/live/1020_1.m3u8
上海卫视,http://61.54.14.232:9801/tsfile/live/1021_1.m3u8
天津卫视,http://61.54.14.232:9801/tsfile/live/1022_1.m3u8
山东卫视,http://61.54.14.232:9801/tsfile/live/1023_1.m3u8
安徽卫视,http://61.54.14.232:9801/tsfile/live/1024_1.m3u8
深圳卫视,http://61.54.14.232:9801/tsfile/live/1025_1.m3u8
江西卫视,http://61.54.14.232:9801/tsfile/live/1026_1.m3u8
湖北卫视,http://61.54.14.232:9801/tsfile/live/1027_1.m3u8
四川卫视,http://61.54.14.232:9801/tsfile/live/1028_1.m3u8
云南卫视,http://61.54.14.232:9801/tsfile/live/1029_1.m3u8
贵州卫视,http://61.54.14.232:9801/tsfile/live/1030_1.m3u8
辽宁卫视,http://61.54.14.232:9801/tsfile/live/1031_1.m3u8
东南卫视,http://61.54.14.232:9801/tsfile/live/1032_1.m3u8
重庆卫视,http://61.54.14.232:9801/tsfile/live/1033_1.m3u8
广东卫视,http://61.54.14.232:9801/tsfile/live/1034_1.m3u8
广西卫视,http://61.54.14.232:9801/tsfile/live/1035_1.m3u8
河北卫视,http://61.54.14.232:9801/tsfile/live/1036_1.m3u8
吉林卫视,http://61.54.14.232:9801/tsfile/live/1037_1.m3u8
山西卫视,http://61.54.14.232:9801/tsfile/live/1038_1.m3u8
陕西卫视,http://61.54.14.232:9801/tsfile/live/1039_1.m3u8
甘肃卫视,http://61.54.14.232:9801/tsfile/live/1040_1.m3u8
宁夏卫视,http://61.54.14.232:9801/tsfile/live/1041_1.m3u8
青海卫视,http://61.54.14.232:9801/tsfile/live/1042_1.m3u8
内蒙古卫视,http://61.54.14.232:9801/tsfile/live/1043_1.m3u8
CETV-1,http://61.54.14.232:9801/tsfile/live/1044_1.m3u8
新疆卫视,http://61.54.14.232:9801/tsfile/live/1045_1.m3u8
厦门卫视,http://61.54.14.232:9801/tsfile/live/1046_1.m3u8
兵团卫视,http://61.54.14.232:9801/tsfile/live/1047_1.m3u8
🇨🇳央视频道,#genre#
CCTV-1 综合,http://61.54.14.232:9801/tsfile/live/1001_1.m3u8
CCTV-2 财经,http://61.54.14.232:9801/tsfile/live/1002_1.m3u8
CCTV-3 综艺,http://61.54.14.232:9801/tsfile/live/1003_1.m3u8
CCTV-4 中文国际,http://61.54.14.232:9801/tsfile/live/1004_1.m3u8
CCTV-5 体育,http://61.54.14.232:9801/tsfile/live/1005_1.m3u8
CCTV-6 电影,http://61.54.14.232:9801/tsfile/live/1006_1.m3u8
CCTV-7 国防军事,http://61.54.14.232:9801/tsfile/live/1007_1.m3u8
CCTV-8 电视剧,http://61.54.14.232:9801/tsfile/live/1008_1.m3u8
CCTV-9 记录,http://61.54.14.232:9801/tsfile/live/1009_1.m3u8
CCTV-10 科教,http://61.54.14.232:9801/tsfile/live/1010_1.m3u8
CCTV-11,http://61.54.14.232:9801/tsfile/live/1011_1.m3u8
CCTV-12 社会与法,http://61.54.14.232:9801/tsfile/live/1012_1.m3u8
CCTV-13 新闻,http://61.54.14.232:9801/tsfile/live/1013_1.m3u8
CCTV-14 少儿,http://61.54.14.232:9801/tsfile/live/1014_1.m3u8
CCTV-15 音乐,http://61.54.14.232:9801/tsfile/live/1015_1.m3u8
🎞️电影联通线路,#genre#
射雕英雄传,https://live.metshop.top/yy/40959929
神雕侠侣,https://live.metshop.top/yy/1351762426
倚天屠龙记,https://live.metshop.top/yy/1449856066
天龙八部,https://live.metshop.top/yy/1351814644
笑傲江湖,https://live.metshop.top/yy/1354936128
鹿鼎记,https://live.metshop.top/yy/28265277
寻秦记,https://live.metshop.top/yy/1382749900
封神榜,https://live.metshop.top/yy/1353426319
新白娘子传奇,https://live.metshop.top/yy/1354490667
新白娘子传奇-修复版,https://live.metshop.top/yy/1354930969
钟馗传说,https://live.metshop.top/yy/1382736839
红楼梦,https://live.metshop.top/yy/1382745084
三国演义,https://live.metshop.top/yy/1354936241
西游记后传,https://live.metshop.top/yy/1353392400
少年包青天,https://live.metshop.top/yy/38498680
宰相刘罗锅,https://live.metshop.top/yy/1353892468
雍正王朝,https://live.metshop.top/yy/23206872
神探狄仁杰,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351755386
庆余年,http://diyp.112114.xyz/douyu/7489563
陈情令,https://live.metshop.top/yy/1382745121
知否知否应是绿肥红瘦,https://live.metshop.top/yy/21881901
